parameter,origin,type,unit,description
bjorkeny,simulation,,,
dir_x,simulation,particle direction,normalized vector,
dir_y,simulation,particle direction,normalized vector,
dir_z,simulation,particle direction,normalized vector,
energy,simulation,particle energy,GeV,
event_id,simulation,,,
is_cc,simulation,interaction channel,,
jmuon_AASHOWERFIT_ENERGY,reconstruction,particle energy,,
jmuon_AASHOWERFIT_NUMBER_OF_HITS,reconstruction,,,
jmuon_E,reconstruction,,,
jmuon_JCOPY_Z_M,,,,
jmuon_JENERGY_CHI2,reconstruction,,,
jmuon_JENERGY_ENERGY,reconstruction,,,
jmuon_JENERGY_MAXIMAL_ENERGY,reconstruction,,,
jmuon_JENERGY_MINIMAL_ENERGY,reconstruction,,,
jmuon_JENERGY_MUON_RANGE_METRES,reconstruction,,,
jmuon_JENERGY_NDF,reconstruction,,,
jmuon_JENERGY_NOISE_LIKELIHOOD,reconstruction,,,
jmuon_JENERGY_NUMBER_OF_HITS,reconstruction,,,
jmuon_JGANDALF_BETA0_RAD,reconstruction,,,
jmuon_JGANDALF_BETA1_RAD,reconstruction,,,
jmuon_JGANDALF_CHI2,reconstruction,,,
jmuon_JGANDALF_LAMBDA,reconstruction,,,
jmuon_JGANDALF_NUMBER_OF_HITS,reconstruction,,,
jmuon_JGANDALF_NUMBER_OF_ITERATIONS,reconstruction,,,
jmuon_JPP_COVERAGE_ORIENTATION,,,,
jmuon_JPP_COVERAGE_POSITION,,,,
jmuon_JSHOWERFIT_ENERGY,reconstruction,,,
jmuon_JSTART_LENGTH_METRES,,,,
jmuon_JSTART_NPE_MIP,,,,
jmuon_JSTART_NPE_MIP_MISSED,,,,
jmuon_JSTART_NPE_MIP_TOTAL,,,,
jmuon_JVETO_NPE,,,,
jmuon_JVETO_NUMBER_OF_HITS,,,,
jmuon_dir_x,reconstruction,particle direction,normalized vector,
jmuon_dir_y,reconstruction,particle direction,normalized vector,
jmuon_dir_z,reconstruction,particle direction,normalized vector,
jmuon_group_id,,,,
jmuon_id,,,,
jmuon_length,,,,
jmuon_likelihood,,,,
jmuon_pos_x,,,,
jmuon_pos_y,,,,
jmuon_pos_z,,,,
jmuon_rec_type,,,,
jmuon_t,,,,
n_gen,simulation,,,
n_hits,simulation,,,
n_trig_hits,simulation,,,
part_number,simulation,,,
particle_type,simulation,,,
prod_identifier,,,,
run_id,detector,,,
tau_topology,simulation,,,
time_interaction,simulation,particle interaction time,s,
vertex_pos_x,simulation,particle position,m,
vertex_pos_y,simulation,particle position,m,
vertex_pos_z,simulation,particle position,m,
visible_energy,,,,
weight_w1,simulation,,,
weight_w2,simulation,,,
weight_w3,simulation,,,
group_id,,,,
